"id","ing"
3246,"tomato"
3246,"cilantro"
3246,"lemon_juice"
3246,"onion"
3246,"green_bell_pepper"
3246,"cayenne"
3247,"olive_oil"
3247,"pepper"
3247,"lemon_juice"
3247,"wheat"
3247,"onion"
3247,"vinegar"
3247,"asparagus"
3247,"parsley"
3247,"white_wine"
3247,"garlic"
3247,"bell_pepper"
3247,"oregano"
3247,"basil"
3247,"vegetable_oil"
3247,"chicken"
3248,"tomato"
3248,"pepper"
3248,"potato"
3248,"lime_juice"
3248,"cayenne"
3248,"cumin"
3248,"scallion"
3248,"cilantro"
3248,"cream"
3249,"tomato"
3249,"beef"
3249,"onion"
3249,"cayenne"
3249,"corn"
3249,"black_pepper"
3249,"cumin"
3249,"buttermilk"
3249,"bean"
3249,"garlic"
3249,"bell_pepper"
3249,"oregano"
3249,"vegetable_oil"
3249,"egg"
3249,"cream"
3250,"tomato"
3250,"garlic"
3250,"onion"
3250,"beef"
3250,"cayenne"
3250,"cumin"
3250,"bell_pepper"
3251,"olive_oil"
3251,"cilantro"
3251,"wheat"
3251,"onion"
3251,"cayenne"
3251,"cumin"
3251,"lettuce"
3251,"garlic"
3251,"bell_pepper"
3251,"soybean"
3251,"mozzarella_cheese"
3251,"lime"
3251,"turmeric"
3252,"butter"
3252,"cheese"
3252,"ham"
3252,"onion"
3252,"potato"
3252,"cayenne"
3252,"garlic"
3252,"tomato"
3253,"cane_molasses"
3253,"olive_oil"
3253,"pepper"
3253,"red_wine"
3253,"tabasco_pepper"
3253,"seed"
3253,"cucumber"
3253,"oregano"
3253,"olive"
3253,"tamarind"
3253,"bread"
3253,"tomato"
3253,"vinegar"
3253,"lemon"
3253,"onion"
3253,"parsley"
3253,"tomato_juice"
3253,"garlic"
3253,"beef_broth"
3253,"egg"
3254,"butter"
3254,"tomato"
3254,"garlic"
3254,"onion"
3254,"chicken"
3254,"rice"
3254,"cayenne"
3255,"cane_molasses"
3255,"butter"
3255,"lemon_juice"
3255,"wheat"
3255,"apple"
3255,"plum"
3255,"milk"
3255,"pecan"
3255,"cinnamon"
3255,"orange"
3255,"tequila"
3255,"cream"
3256,"olive_oil"
3256,"coconut"
3256,"lemon_juice"
3256,"onion"
3256,"beef"
3256,"vinegar"
3256,"black_pepper"
3256,"rum"
3256,"sage"
3256,"garlic"
3256,"cinnamon"
3256,"oregano"
3257,"tomato"
3257,"kidney_bean"
3257,"beef_broth"
3257,"cayenne"
3257,"chicken"
3257,"scallion"
3258,"cane_molasses"
3258,"olive_oil"
3258,"cilantro"
3258,"onion"
3258,"vinegar"
3258,"lime_juice"
3258,"cumin"
3258,"beer"
3258,"garlic"
3258,"tamarind"
3259,"butter"
3259,"brandy"
3259,"wheat"
3259,"vanilla"
3259,"egg"
3259,"walnut"
3260,"tomato"
3260,"pork"
3260,"beef"
3260,"potato"
3260,"corn"
3260,"cayenne"
3260,"cumin"
3260,"celery"
3260,"oregano"
3260,"vegetable_oil"
3260,"chicken_broth"
3261,"turkey"
3261,"cheese"
3261,"wheat"
3261,"bacon"
3261,"cayenne"
3261,"scallion"
3261,"smoke"
3261,"raspberry"
3262,"butter"
3262,"tomato"
3262,"pepper"
3262,"wheat"
3262,"onion"
3262,"vinegar"
3262,"cayenne"
3262,"parmesan_cheese"
3262,"scallion"
3262,"garlic"
3262,"oregano"
3262,"white_wine"
3262,"egg"
3263,"cheese"
3263,"pepper"
3263,"beef"
3263,"onion"
3263,"avocado"
3263,"corn"
3263,"cayenne"
3263,"lettuce"
3263,"bell_pepper"
3263,"vegetable_oil"
3263,"lime"
3263,"cream"
3264,"cane_molasses"
3264,"vinegar"
3264,"onion"
3264,"black_pepper"
3264,"avocado"
3264,"garlic"
3264,"cream_cheese"
3264,"tamarind"
3264,"cayenne"
3265,"tomato"
3265,"olive_oil"
3265,"green_bell_pepper"
3265,"onion"
3265,"chicken_broth"
3265,"black_pepper"
3265,"bay"
3265,"bell_pepper"
3265,"chicken"
3265,"rice"
3266,"olive_oil"
3266,"pepper"
3266,"lemon"
3266,"onion"
3266,"tabasco_pepper"
3266,"orange_juice"
3266,"lime_juice"
3266,"cilantro"
3266,"cumin"
3266,"black_pepper"
3266,"garlic"
3266,"oregano"
3267,"tomato"
3267,"onion"
3267,"black_bean"
3267,"black_pepper"
3267,"corn"
3267,"cayenne"
3267,"garlic"
3267,"bell_pepper"
3267,"oregano"
3267,"macaroni"
3267,"pork_sausage"
3268,"tomato"
3268,"green_bell_pepper"
3268,"onion"
3268,"corn"
3268,"cayenne"
3268,"cumin"
3268,"bell_pepper"
3268,"kidney_bean"
3268,"chicken"
3268,"chicken_broth"
3269,"tomato"
3269,"olive_oil"
3269,"cilantro"
3269,"onion"
3269,"corn"
3269,"cayenne"
3269,"pepper"
3269,"garlic"
3270,"tomato"
3270,"mushroom"
3270,"onion"
3270,"corn"
3270,"cayenne"
3270,"garlic"
3270,"chicken"
3270,"cheddar_cheese"
3270,"milk"
3270,"chicken_broth"
3271,"tomato"
3271,"beef"
3271,"onion"
3271,"cayenne"
3271,"corn"
3271,"black_pepper"
3271,"cumin"
3271,"lettuce"
3271,"garlic"
3271,"bell_pepper"
3271,"oregano"
3271,"cheddar_cheese"
3271,"cream"
3272,"olive_oil"
3272,"wheat"
3272,"beef"
3272,"black_pepper"
3272,"cayenne"
3272,"cumin"
3272,"garlic"
3272,"oregano"
3272,"beef_broth"
3272,"roasted_beef"
3273,"tomato"
3273,"wheat"
3273,"starch"
3273,"lime_juice"
3273,"tequila"
3273,"black_pepper"
3273,"avocado"
3273,"honey"
3273,"garlic"
3273,"vegetable_oil"
3273,"chicken"
3273,"lime"
3274,"olive_oil"
3274,"black_pepper"
3274,"garlic"
3274,"oregano"
3274,"olive"
3274,"cream"
3274,"tomato"
3274,"vinegar"
3274,"beef"
3274,"onion"
3274,"cayenne"
3274,"cumin"
3274,"scallion"
3274,"buttermilk"
3274,"macaroni"
3274,"bell_pepper"
3274,"vegetable_oil"
3274,"cheddar_cheese"
3274,"egg"
3275,"cheese"
3275,"pepper"
3275,"meat"
3275,"cayenne"
3275,"lime_juice"
3275,"scallion"
3275,"yogurt"
3275,"vegetable_oil"
3275,"bread"
3275,"lime_peel_oil"
3275,"egg"
3275,"mustard"
3276,"cheese"
3276,"wheat"
3276,"egg"
3276,"cheddar_cheese"
3276,"cayenne"
3276,"milk"
3277,"tequila"
3277,"lemon_juice"
3277,"lime_juice"
3278,"butter"
3278,"tomato"
3278,"onion"
3278,"bacon"
3278,"corn"
3278,"cayenne"
3278,"bean"
3278,"garlic"
3278,"lard"
3278,"vegetable_oil"
3278,"cheddar_cheese"
3278,"egg"
3279,"wheat"
3279,"cayenne"
3279,"fish"
3279,"black_pepper"
3279,"honey"
3279,"garlic"
3279,"oregano"
3279,"cabbage"
3279,"bread"
3279,"vinegar"
3279,"cilantro"
3279,"onion"
3279,"lime_juice"
3279,"cumin"
3279,"vegetable_oil"
3279,"egg"
3280,"tomato"
3280,"pork"
3280,"onion"
3280,"black_pepper"
3280,"cayenne"
3280,"cumin"
3280,"garlic"
3280,"bell_pepper"
3280,"oregano"
3280,"vegetable_oil"
3281,"tomato"
3281,"almond"
3281,"black_pepper"
3281,"cocoa"
3281,"seed"
3281,"garlic"
3281,"chicken"
3281,"white_bread"
3281,"butter"
3281,"onion"
3281,"chicken_broth"
3281,"anise"
3281,"cayenne"
3281,"bay"
3281,"cinnamon"
3281,"sesame_seed"
3282,"vinegar"
3282,"onion"
3282,"black_pepper"
3282,"cayenne"
3282,"cumin"
3282,"garlic"
3282,"scallion"
3282,"cucumber"
3282,"oregano"
3282,"vegetable_oil"
3282,"egg"
3283,"tomato"
3283,"vinegar"
3283,"cane_molasses"
3283,"onion"
3283,"beef"
3283,"lima_bean"
3283,"corn"
3283,"pepper"
3283,"bean"
3283,"mustard"
3283,"garlic"
3283,"tamarind"
3283,"celery_oil"
3284,"tomato"
3284,"olive_oil"
3284,"cilantro"
3284,"wheat"
3284,"chicken_broth"
3284,"cayenne"
3284,"cumin"
3284,"garlic"
3284,"cream_cheese"
3284,"pepper"
3284,"egg"
3284,"cream"
3285,"onion"
3285,"beef"
3285,"corn"
3285,"cayenne"
3285,"cheddar_cheese"
3285,"egg"
3285,"milk"
3285,"cream"
3286,"vinegar"
3286,"onion"
3286,"black_pepper"
3286,"cayenne"
3286,"cumin"
3286,"garlic"
3286,"bell_pepper"
3286,"vegetable_oil"
3286,"egg"
3287,"tomato"
3287,"green_bell_pepper"
3287,"onion"
3287,"cayenne"
3287,"black_pepper"
3287,"carrot"
3287,"garlic"
3287,"kidney_bean"
3287,"whole_grain_wheat_flour"
3287,"bread"
3288,"butter"
3288,"tomato"
3288,"onion"
3288,"starch"
3288,"cayenne"
3288,"garlic"
3288,"cheddar_cheese"
3288,"cream"
3289,"tomato"
3289,"cheese"
3289,"onion"
3289,"black_pepper"
3289,"cayenne"
3289,"cumin"
3289,"garlic"
3289,"oregano"
3290,"tomato"
3290,"onion"
3290,"corn"
3290,"cayenne"
3290,"cumin"
3290,"milk"
3290,"garlic"
3290,"vegetable_oil"
3290,"chicken"
3290,"cheddar_cheese"
3290,"chicken_broth"
3290,"cream"
3291,"turkey"
3291,"tomato"
3291,"cane_molasses"
3291,"wheat"
3291,"onion"
3291,"vinegar"
3291,"cayenne"
3291,"scallion"
3291,"lettuce"
3291,"garlic"
3291,"olive"
3291,"tamarind"
3291,"cheddar_cheese"
3291,"cream"
3292,"tomato"
3292,"green_bell_pepper"
3292,"beef"
3292,"onion"
3292,"black_pepper"
3292,"corn"
3292,"cayenne"
3292,"cumin"
3292,"lettuce"
3292,"macaroni"
3292,"bell_pepper"
3292,"oregano"
3292,"garlic"
3292,"cheddar_cheese"
3293,"butter"
3293,"cheese"
3293,"wheat"
3293,"onion"
3293,"parsley"
3293,"shrimp"
3293,"garlic"
3293,"crab"
3293,"milk"
3293,"cream"
3294,"olive_oil"
3294,"beef"
3294,"onion"
3294,"vinegar"
3294,"corn"
3294,"black_pepper"
3294,"bell_pepper"
3294,"mozzarella_cheese"
3294,"cheddar_cheese"
3295,"tomato"
3295,"cheese"
3295,"onion"
