"id","ing"
6163,"olive_oil"
6163,"pepper"
6163,"lemon_juice"
6163,"cardamom"
6163,"lettuce"
6163,"garlic"
6163,"chicken"
6163,"bread"
6163,"tomato"
6163,"vinegar"
6163,"onion"
6163,"roasted_sesame_seed"
6163,"malt"
6163,"parsley"
6163,"yogurt"
6163,"vegetable_oil"
6164,"vegetable_oil"
6164,"lemon_juice"
6164,"garlic"
6164,"olive_oil"
6165,"coriander"
6165,"olive_oil"
6165,"cane_molasses"
6165,"lemon"
6165,"onion"
6165,"black_pepper"
6165,"parsley"
6165,"celery"
6165,"carrot"
6165,"garlic"
6165,"orange"
6165,"mint"
6165,"pea"
6166,"vegetable_oil"
6166,"lemon"
6166,"garlic"
6167,"lamb"
6167,"olive_oil"
6167,"wheat"
6167,"onion"
6167,"mint"
6167,"black_pepper"
6167,"cumin"
6168,"olive_oil"
6168,"lemon_juice"
6168,"garlic"
6169,"olive_oil"
6169,"pepper"
6169,"lemon_juice"
6169,"garlic"
6169,"potato"
6169,"chicken"
6170,"olive_oil"
6170,"green_bell_pepper"
6170,"black_pepper"
6170,"white_wine"
6170,"lettuce"
6170,"lemon_juice"
6170,"cucumber"
6170,"mint"
6170,"bread"
6170,"tomato"
6170,"vinegar"
6170,"cilantro"
6170,"lemon"
6170,"onion"
6170,"parsley"
6170,"scallion"
6170,"celery"
6170,"garlic"
6171,"rose"
6171,"walnut"
6171,"wheat"
6171,"lard"
6172,"yogurt"
6172,"olive_oil"
6173,"olive_oil"
6173,"lemon_juice"
6173,"black_pepper"
6173,"garlic"
6174,"olive_oil"
6174,"lemon_juice"
6174,"onion"
6174,"yeast"
6174,"garlic"
6174,"basil"
6174,"mint"
6174,"whole_grain_wheat_flour"
6175,"olive_oil"
6175,"cilantro"
6175,"lemon_juice"
6175,"lemon"
6175,"onion"
6175,"thyme"
6175,"chicken_broth"
6175,"parsley"
6175,"bay"
6175,"garlic"
6175,"lentil"
6176,"olive_oil"
6176,"lemon_juice"
6176,"onion"
6176,"cumin"
6176,"garlic"
6176,"cinnamon"
6176,"brassica"
6176,"lentil"
6177,"tomato"
6177,"olive_oil"
6177,"lemon_juice"
6177,"wheat"
6177,"parsley"
6177,"scallion"
6177,"cucumber"
6177,"garlic"
6177,"mint"
6178,"vegetable_oil"
6178,"nut"
6178,"wheat"
6178,"milk"
6178,"turmeric"
6179,"pistachio"
6179,"lemon_juice"
6179,"wheat"
6179,"rose"
6179,"egg"
6179,"milk"
6179,"cream"
6180,"cilantro"
6180,"lemon_juice"
6180,"garlic"
6180,"potato"
6180,"vegetable_oil"
6180,"cumin"
6181,"tomato"
6181,"vinegar"
6181,"lemon_juice"
6181,"beef"
6181,"onion"
6181,"olive_oil"
6181,"cardamom"
6181,"red_wine"
6181,"black_pepper"
6181,"parsley"
6181,"roasted_sesame_seed"
6181,"seed"
6181,"garlic"
6181,"cinnamon"
6181,"bread"
6182,"tomato"
6182,"lemon_juice"
6182,"starch"
6182,"sumac"
6182,"black_pepper"
6182,"parsley"
6182,"scallion"
6182,"lettuce"
6182,"green_bell_pepper"
6182,"garlic"
6182,"cucumber"
6182,"mint"
6182,"bread"
6183,"tomato"
6183,"olive_oil"
6183,"onion"
6183,"radish"
6183,"parsley"
6183,"lettuce"
6183,"carrot"
6183,"garlic"
6183,"bell_pepper"
6183,"vegetable_oil"
6183,"cucumber"
6183,"cabbage"
6183,"mint"
6183,"seed"
6183,"bread"
6184,"olive_oil"
6184,"garlic"
6185,"cane_molasses"
6185,"olive_oil"
6185,"lemon_juice"
6185,"cumin"
6185,"walnut"
6185,"garlic"
6185,"bell_pepper"
6185,"bread"
6186,"black_pepper"
6186,"cayenne"
6186,"onion"
6186,"beef"
6186,"parsley"
6187,"olive_oil"
6187,"lemon_juice"
6187,"beef"
6187,"onion"
6187,"nut"
6187,"black_pepper"
6187,"parsley"
6187,"bell_pepper"
6187,"bread"
6188,"butter"
6188,"wheat"
6188,"orange_flower"
6188,"yeast"
6188,"cardamom"
6188,"rose"
6188,"nutmeg"
6188,"cinnamon"
6188,"sesame_seed"
6189,"lemon_juice"
6189,"wheat"
6189,"corn"
6189,"vanilla"
6189,"pistachio"
6189,"cinnamon"
6189,"milk"
6189,"cream"
6190,"pepper"
6190,"lemon_juice"
6190,"garlic"
6190,"cauliflower"
6190,"roasted_sesame_seed"
6190,"vegetable_oil"
6190,"parsley"
6191,"tomato"
6191,"olive_oil"
6191,"lemon_juice"
6191,"sumac"
6191,"radish"
6191,"scallion"
6191,"lettuce"
6191,"cucumber"
6191,"olive"
6191,"mint"
6191,"bread"
6192,"butter"
6192,"coconut"
6192,"oat"
6192,"wheat"
6192,"lard"
6193,"tomato"
