"id","ing"
48332,"butter"
48332,"tomato"
48332,"dill"
48332,"shrimp"
48332,"horseradish"
48332,"olive"
48332,"vegetable_oil"
48332,"white_bread"
48332,"egg"
48333,"yogurt"
48333,"vanilla"
48333,"lemon"
48333,"cinnamon"
48333,"blueberry"
48334,"butter"
48334,"egg"
48334,"wheat"
48334,"cinnamon"
48334,"pecan"
48335,"butter"
48335,"milk_fat"
48335,"starch"
48335,"egg"
48335,"almond"
48335,"licorice"
48335,"milk"
48336,"butter"
48336,"lemon_juice"
48336,"wheat"
48336,"vanilla"
48336,"egg"
48336,"cream"
48337,"vinegar"
48337,"mustard"
48337,"onion"
48337,"dill"
48337,"black_pepper"
48337,"cider"
48337,"bay"
48337,"beet"
48338,"butter"
48338,"caraway"
48338,"macaroni"
48338,"seed"
48339,"olive_oil"
48339,"mustard"
48339,"potato"
48339,"chive"
48339,"vinegar"
48339,"parsley"
48339,"white_wine"
48340,"butter"
48340,"wheat"
48340,"cardamom"
48340,"blackberry"
48340,"raspberry"
48340,"egg"
48340,"milk"
48340,"cream"
48341,"coriander"
48341,"olive_oil"
48341,"pork"
48341,"mustard"
48341,"onion"
48341,"juniper_berry"
48341,"black_pepper"
48341,"cumin"
48341,"bay"
48341,"celery"
48341,"carrot"
48341,"vegetable_oil"
48342,"beet"
48342,"pepper"
48342,"cider"
48343,"cardamom"
48343,"vinegar"
48343,"mustard"
48343,"dill"
48343,"vegetable_oil"
48344,"gelatin"
48344,"brandy"
48344,"egg"
48344,"lingonberry"
48344,"cream"
48345,"cane_molasses"
48345,"butter"
48345,"wheat"
48345,"cinnamon"
48345,"cardamom"
48345,"black_pepper"
48346,"cheese"
48346,"rye_flour"
48346,"ham"
48346,"tea"
48346,"egg"
48346,"milk"
48346,"bread"
48347,"coriander"
48347,"orange_peel"
48347,"wheat"
48347,"yeast"
48347,"corn"
48347,"rye_flour"
48347,"butter"
48347,"lard"
48347,"vegetable"
48347,"anise_seed"
48348,"dill"
48348,"lemon_juice"
48348,"mustard"
48348,"shrimp"
48348,"lettuce"
48348,"cucumber"
48348,"vegetable_oil"
48348,"egg"
48349,"butter"
48349,"juniper_berry"
48349,"potato"
48349,"black_pepper"
48349,"cream"
48350,"cane_molasses"
48350,"cardamom"
48350,"lemon_juice"
48350,"apple"
48351,"coriander"
48351,"fenugreek"
48351,"pepper"
48351,"vinegar"
48351,"black_pepper"
48351,"cider"
48351,"cumin"
48351,"garlic"
48351,"vegetable_oil"
48351,"turmeric"
48352,"butter"
48352,"potato"
48353,"butter"
48353,"pepper"
48353,"lemon_juice"
48353,"fish"
48353,"scallion"
48353,"carrot"
48353,"rye_flour"
48353,"smoke"
48353,"vegetable_oil"
48353,"bread"
48354,"butter"
48354,"caraway"
48354,"onion"
48354,"rye_bread"
48354,"seed"
48354,"beet"
48354,"chive"
48354,"vegetable_oil"
48354,"smoked_salmon"
48355,"butter"
48355,"dill"
48355,"pepper"
48355,"thyme"
48355,"avocado"
48355,"leek"
48355,"beer"
48355,"mussel"
48355,"milk"
48355,"cream"
48356,"butter"
48356,"bread"
48356,"potato"
48357,"butter"
48357,"coconut"
48357,"almond"
48357,"wheat"
48358,"cane_molasses"
48358,"dill"
48358,"starch"
48358,"black_pepper"
48358,"sherry"
48358,"tamarind"
48358,"bread"
48358,"turkey"
48358,"vinegar"
48358,"onion"
48358,"lingonberry"
48358,"egg_noodle"
48358,"nutmeg"
48358,"vegetable_oil"
48358,"beef_broth"
48358,"cream"
48358,"egg"
48359,"vinegar"
48359,"bay"
48359,"cucumber"
48359,"white_wine"
48360,"butter"
48360,"vinegar"
48360,"apple"
48360,"plum"
48360,"red_wine"
48360,"meat"
48360,"cinnamon"
48360,"cranberry"
48360,"orange"
48360,"cabbage"
48360,"blackberry"
48361,"butter"
48361,"wheat"
48361,"oat"
48361,"egg"
48361,"almond"
48362,"butter"
48362,"vanilla"
48362,"wheat"
48362,"milk"
48362,"cream"
48363,"butter"
48363,"wheat"
48363,"egg"
48363,"vegetable_oil"
48363,"buttermilk"
48364,"butter"
48364,"egg"
48364,"vanilla"
48364,"wheat"
48364,"cream"
48365,"butter"
48365,"tomato"
48365,"wheat"
48365,"onion"
48365,"beef"
48365,"black_pepper"
48365,"parsley"
48365,"nutmeg"
48365,"egg"
48365,"milk"
48365,"bread"
48366,"cabbage"
48366,"caraway"
48366,"seed"
48366,"cream"
48367,"butter"
48367,"egg"
48367,"almond"
48367,"wheat"
48368,"butter"
48368,"wheat"
48368,"cream_cheese"
48368,"pineapple"
48368,"vanilla"
48368,"egg"
48368,"walnut"
48369,"butter"
48369,"wheat"
48369,"potato"
48370,"butter"
48370,"egg"
48370,"wheat"
48370,"buttermilk"
48371,"wheat"
48371,"egg"
48371,"milk"
48372,"butter"
48372,"pork"
48372,"onion"
48372,"beef"
48372,"starch"
48372,"cardamom"
48372,"pepper"
48372,"meat"
48372,"nutmeg"
48372,"cinnamon"
48372,"beef_broth"
48372,"cream"
48372,"egg"
48372,"milk"
48372,"bread"
48373,"butter"
48373,"vanilla"
48373,"wheat"
48374,"wheat"
48374,"rye_flour"
48374,"yeast"
48375,"butter"
48375,"wheat"
48375,"yeast"
48375,"cardamom"
48375,"egg"
48375,"milk"
48376,"cane_molasses"
48376,"wheat"
48376,"almond"
48376,"egg"
48377,"butter"
48377,"egg"
48377,"wheat"
48377,"cinnamon"
48378,"butter"
48378,"wheat"
48378,"lard"
48378,"cardamom"
48378,"egg"
48378,"cream"
48379,"cocoa"
48379,"almond"
48379,"egg"
48379,"cinnamon"
48380,"butter"
48380,"wheat"
48380,"egg"
48381,"butter"
48381,"lemon_juice"
48381,"wheat"
48381,"fish"
48381,"black_pepper"
48381,"sherry"
48381,"egg"
48381,"cream"
48382,"butter"
48382,"wheat"
48382,"almond"
48382,"egg"
48383,"butter"
48383,"coconut"
48383,"wheat"
48383,"vanilla"
48383,"almond"
48383,"egg"
48384,"butter"
48384,"fruit"
48384,"wheat"
48384,"corn"
48384,"egg"
48384,"walnut"
48385,"butter"
48385,"pecan"
48385,"vanilla"
48385,"egg"
