"id","ing"
53840,"butter"
53840,"cocoa"
53840,"vanilla"
53840,"wheat"
53840,"lard"
53841,"green_bell_pepper"
53841,"beef"
53841,"onion"
53841,"potato"
53841,"soy_sauce"
53841,"cayenne"
53841,"milk"
53841,"bell_pepper"
53841,"cheddar_cheese"
53841,"leek"
53841,"ham"
53842,"milk_fat"
53842,"coffee"
53842,"egg"
53842,"milk"
53842,"starch"
53843,"butter"
53843,"wheat"
53843,"egg"
53843,"vegetable_oil"
53843,"buttermilk"
53844,"butter"
53844,"egg"
53844,"almond"
53844,"wheat"
53845,"butter"
53845,"wheat"
53845,"egg"
53845,"apple"
53846,"cane_molasses"
53846,"coriander"
53846,"pepper"
53846,"wheat"
53846,"fenugreek"
53846,"parsley"
53846,"tamarind"
53846,"milk"
53846,"bread"
53846,"butter"
53846,"vinegar"
53846,"onion"
53846,"chicken_broth"
53846,"cayenne"
53846,"cumin"
53846,"veal"
53846,"bell_pepper"
53846,"vegetable_oil"
53846,"egg"
53846,"cheese"
53846,"turmeric"
53847,"wheat"
53847,"apple"
53847,"yeast"
53847,"raisin"
53847,"currant"
53847,"vegetable_oil"
53847,"egg"
53847,"milk"
53848,"tomato"
53848,"wheat"
53848,"beef"
53848,"onion"
53848,"potato"
53848,"black_pepper"
53848,"swiss_cheese"
53848,"garlic"
53848,"cinnamon"
53848,"oregano"
53848,"lard"
53848,"basil"
53848,"mushroom"
53849,"butter"
53849,"cane_molasses"
53849,"almond"
53849,"wheat"
53850,"cane_molasses"
53850,"butter"
53850,"wheat"
53850,"apple"
53850,"yeast"
53850,"milk"
53850,"nutmeg"
53850,"cinnamon"
53850,"raspberry"
53850,"egg"
53850,"blueberry"
53851,"cane_molasses"
53851,"wheat"
53851,"citrus"
53851,"raisin"
53851,"walnut"
53851,"buttermilk"
53851,"nutmeg"
53851,"cinnamon"
53851,"lard"
53852,"butter"
53852,"wheat"
53852,"almond"
53852,"egg"
53853,"butter"
53853,"egg"
53853,"wheat"
53853,"cinnamon"
53853,"walnut"
53854,"wheat"
53854,"apple"
53854,"yeast"
53854,"vegetable_oil"
53854,"raisin"
53854,"egg"
53854,"milk"
53855,"wheat"
53855,"apple"
53855,"lard"
53855,"vanilla"
53855,"egg"
53855,"milk"
53855,"cinnamon"
53856,"butter"
53856,"wheat"
53856,"apple"
53856,"chicken_broth"
53856,"bacon"
53856,"mustard"
53856,"egg"
53856,"cream"
53857,"butter"
53857,"egg"
53857,"vanilla"
53857,"lemon"
53857,"wheat"
53858,"butter"
53858,"cane_molasses"
53858,"almond"
53858,"wheat"
53858,"egg"
53859,"butter"
